a,b,c,t,e,et
1.2,2100,5,1.5,34.6730299466159,11.924195564288404
1.2,2100,5,2.0,40.2948083153218,10.6056608923096
1.2,2100,5,2.5,45.2786908389255,9.372128976295095
1.2,2100,5,3.0,49.6669372916169,8.222507958274399
1.2,2100,5,3.5,53.5011987971999,7.1555769406393
1.2,2100,5,4.0,56.8225142322562,6.1701845514689
1.2,2100,5,4.5,59.6713833486688,5.264969246635204
1.2,2100,5,5.0,62.0874834788914,4.438664120837203
1.2,2100,5,5.5,64.110047469506,3.689764554261899
1.2,2100,5,6.0,65.7772480331533,3.0168026548716966
1.2,2100,5,6.5,67.1268501243777,2.4181525633864993
1.2,2100,5,7.0,68.1954005965398,1.892000511162209
1.2,2100,5,7.5,69.0188506355399,1.4366531689387045
1.2,2100,5,8.0,69.6320537654785,1.0496798916057912
1.2,2100,5,8.5,70.0685305271457,0.7302515856131038
1.2,2100,5,9.0,70.3623053510916,0.4718690910844998
1.2,2100,5,9.5,70.5403996182302,0.2745261676319899
1.2,2100,5,10.0,70.6368315187236,0.11120143434160923
1.2,2100,6,0.0,0.0,70.8953322521713
1.2,2100,6,0.5,27.2336521968093,38.0392765350659
1.2,2100,6,1.0,38.0392765350659,17.4172853398638
1.2,2100,6,1.5,44.6509375366731,12.214642785388996
1.2,2100,6,2.0,50.2539193204549,10.305985929923203
1.2,2100,6,2.5,54.9569234665963,8.6088952180909
1.2,2100,6,3.0,58.8628145385458,7.110698395929397
1.2,2100,6,3.5,62.0676218625257,5.798566854188202
1.2,2100,6,4.0,64.661381392734,4.660131792944398
1.2,2100,6,4.5,66.7277536554701,3.6825033699327037
1.2,2100,6,5.0,68.3438847626667,2.853504396915099
1.2,2100,6,5.5,69.5812580523852,2.1602638495029964
1.2,2100,6,6.0,70.5041486121697,1.590720618080411
1.2,2100,6,6.5,71.1719786704656,1.132184918148596
1.2,2100,6,7.0,71.6363335303183,0.7725538888259962
1.2,2100,6,7.5,71.9445325592916,0.49774485282399894
1.2,2100,6,8.0,72.1340783831423,0.30452259525749525
1.2,2100,6,8.5,72.2490551545491,0.17082016788160104
1.2,2100,6,9.0,72.3048985510239,0.0644959058113983
1.2,2100,6,9.5,72.3135510603605,0.020218585542608025
1.2,2100,6,10.0,72.3251171365665,0.02604571928141297
1.2,2100,7,0.0,0.0,74.5771344400865
1.2,2100,7,0.5,28.9263924378318,41.1284353112407
1.2,2100,7,1.0,41.1284353112407,19.5314858071236
1.2,2100,7,1.5,48.4578782449554,13.258204997027299
1.2,2100,7,2.0,54.386640308268,10.668078459084995
1.2,2100,7,2.5,59.1259567040404,8.479243889689599
1.2,2100,7,3.0,62.8658841979576,6.647675007174506
1.2,2100,7,3.5,65.7736317112149,5.131387703254902
1.2,2100,7,4.0,67.9972719012125,3.8921735388929903
1.2,2100,7,4.5,69.6658052501079,2.8930966185324962
1.2,2100,7,5.0,70.890368519745,2.1012479827821124
1.2,2100,7,5.5,71.76705323289,1.4849460074363066
1.2,2100,7,6.0,72.3753145271813,1.016313219544088
1.2,2100,7,6.5,72.7833664524341,0.6692239278671934
1.2,2100,7,7.0,73.0445384550485,0.4203209838320987
1.2,2100,7,7.5,73.2036874362662,0.24731607633330555
1.2,2100,7,8.0,73.2918545313818,0.13590476190491074
1.2,2100,7,8.5,73.3395921981711,0.06948284703899787
1.2,2100,7,9.0,73.3613373784208,0.02538726963879867
1.2,2100,7,9.5,73.3649794678099,0.007700272869598734
1.2,2100,7,10.0,73.3690376512904,0.0085324610523827
1.2,2400,3,0.0,0.0,31.0927510933641
1.2,2400,3,0.5,13.38588535353,22.4507903207559
1.2,2400,3,1.0,22.4507903207559,15.5655719902799
1.2,2400,3,1.5,28.9514573438099,11.531440983583401
1.2,2400,3,2.0,33.9822313043393,8.870923829150101
1.2,2400,3,2.5,37.82238117296,6.726318890828402
1.2,2400,3,3.0,40.7085501951677,5.019166887645902
1.2,2400,3,3.5,42.8415480606059,3.6779716133601994
1.2,2400,3,4.0,44.3865218085279,2.6408045214745
1.2,2400,3,4.5,45.4823525820804,1.852502373966395
1.2,2400,3,5.0,46.2390241824943,1.2650456634343001
1.2,2400,3,5.5,46.7473982455147,0.8376829029999016
1.2,2400,3,6.0,47.0767070854942,0.5344947358439001
1.2,2400,3,6.5,47.2818929813586,0.32608285198070064
1.2,2400,3,7.0,47.4027899374749,0.191357394523898
1.2,2400,3,7.5,47.4732503758825,0.10432849420450196
1.2,2400,3,8.0,47.5071184316794,0.04895375018819692
1.2,2400,3,8.5,47.5222041260707,0.021570970560198077
1.2,2400,3,9.0,47.5286894022396,0.007461902704505974
1.2,2400,3,9.5,47.5296660287752,0.0023280854938008133
1.2,2400,3,10.0,47.5310174877334,0.0030777503389813887
1.2,2400,4,0.0,0.0,54.9704842024798
1.2,2400,4,0.5,21.499792406596,31.0286854239042
1.2,2400,4,1.0,31.0286854239042,15.662040372108997
1.2,2400,4,1.5,37.161832778705,11.357540442539403
1.2,2400,4,2.0,42.3862258664436,9.632806685382604
1.2,2400,4,2.5,46.7946394640876,8.089250358234196
1.2,2400,4,3.0,50.4754762246778,6.717408622633094
1.2,2400,4,3.5,53.5120480867207,5.507531574752704
1.2,2400,4,4.0,55.9830077994305,4.450204296937301
1.2,2400,4,4.5,57.962252383658,3.5354260065636964
1.2,2400,4,5.0,59.5184338059942,2.753704299616601
1.2,2400,4,5.5,60.7159566832746,2.0948278544873986
1.2,2400,4,6.0,61.6132616604816,1.549102858915802
1.2,2400,4,6.5,62.2650595421904,1.1062353434934025
1.2,2400,4,7.0,62.719497003975,0.7560695679556986
1.2,2400,4,7.5,63.0211291101461,0.4860872550547981
1.2,2400,4,8.0,63.2055842590298,0.29699454665190217
1.2,2400,4,8.5,63.318123656798,0.164360898900604
1.2,2400,4,9.0,63.3699451579304,0.056745319168101105
1.2,2400,4,9.5,63.3748689759661,0.016648835051000788
1.2,2400,4,10.0,63.3865939929814,0.030251233010204714
1.2,2400,5,0.0,0.0,48.866133361857194
1.2,2400,5,0.5,19.921419311919,30.8195438858188
1.2,2400,5,1.0,30.8195438858188,18.445466467600102
1.2,2400,5,1.5,38.3668857795191,13.883428429000897
1.2,2400,5,2.0,44.7029723148197,11.603977559499398
1.2,2400,5,2.5,49.9708633390185,9.600606386895201
1.2,2400,5,3.0,54.3035787017149,7.853307730253199
1.2,2400,5,3.5,57.8241710692717,6.341915452197803
1.2,2400,5,4.0,60.6454941539127,5.047375309386702
1.2,2400,5,4.5,62.8715463786584,3.9503846891393053
1.2,2400,5,5.0,64.595878843052,3.0326589663293007
1.2,2400,5,5.5,65.9042053449877,2.2760185271817903
1.2,2400,5,6.0,66.8718973702338,1.662845066893098
1.2,2400,5,6.5,67.5670504118808,1.1763722527052067
1.2,2400,5,7.0,68.048269622939,0.7996374994347946
1.2,2400,5,7.5,68.3666879113156,0.5178153840210911
1.2,2400,5,8.0,68.5660850069601,0.31488791170430375
1.2,2400,5,8.5,68.6815758230199,0.17436866309660104
1.2,2400,5,9.0,68.7404536700567,0.07925797073440322
1.2,2400,5,9.5,68.7608337937543,0.03312124217760015
1.2,2400,5,10.0,68.7735749122343,0.017843231742375565
1.2,2400,6,0.0,0.0,56.4881253611787
1.2,2400,6,0.5,22.9987125504188,35.5067248404965
1.2,2400,6,1.0,35.5067248404965,20.946216323457
1.2,2400,6,1.5,43.9449288738758,15.280575287242499
1.2,2400,6,2.0,50.787300127739,12.329175633242194
1.2,2400,6,2.5,56.274104507118,9.832717154160598
1.2,2400,6,3.0,60.6200172818996,7.741092482925609
1.2,2400,6,3.5,64.0151969900436,6.006241214864197
1.2,2400,6,4.0,66.6262584967638,4.584648962420289
1.2,2400,6,4.5,68.5998459524639,3.4347014830630087
1.2,2400,6,5.0,70.0609599798268,2.5188049889274
1.2,2400,6,5.5,71.1186509413913,1.801926880577696
1.2,2400,6,6.0,71.8628868604045,1.2520312835956986
1.2,2400,6,6.5,72.370682224987,0.8406702571029996
1.2,2400,6,7.0,72.7035571175075,0.5411403652468039
1.2,2400,6,7.5,72.9118225902338,0.32993948045019295
1.2,2400,6,8.0,73.0334965979577,0.19303534537510814
1.2,2400,6,8.5,73.1048579356089,0.10283010652220526
1.2,2400,6,9.0,73.1363267044799,0.04052780214789209
1.2,2400,6,9.5,73.1453857377568,0.01589001686299696
1.2,2400,6,10.0,73.1522167213429,0.011433917481411981
1.2,2400,7,0.0,0.0,60.6460371869368
1.2,2400,7,0.5,25.9185156225074,43.0280253030928
1.2,2400,7,1.0,43.0280253030928,28.315430858049098
1.2,2400,7,1.5,54.2339464805565,18.726706057316
1.2,2400,7,2.0,61.7547313604088,12.521479770250806
1.2,2400,7,2.5,66.7554262508073,8.291389430609598
1.2,2400,7,3.0,70.0461207910184,5.43717486533329
1.2,2400,7,3.5,72.1926011161406,3.5272927805633003
1.2,2400,7,4.0,73.5734135715817,2.2625673016388106
